"Country","Latitude","Longitude"
"New Zealand",-41.7023337271842,172.921343839925
"Nicaragua",12.8449927207592,-85.0319410736152
"Niger",17.4120079629507,9.33161007434546
"Nigeria",9.59094557009618,8.07958685423834
"Niue",-19.0494561797241,-169.869942758348
"Norway",66.3603228976923,12.7458965802462
"Oman",20.58577512952,56.0621306429003
"Pakistan",29.8839453542285,69.1684395527133
"Palau",7.28668473745095,134.405780973282
"Panama",8.52023299495937,-80.1187762402053
"Papua New Guinea",-6.46858138976355,145.200496713414
"Paraguay",-23.2089093391522,-58.443432990285
"Peru",-9.10714962725944,-74.420741589475
"Philippines",11.7293432309907,122.919280077961
"Poland",52.111835612144,19.4197062879029
"Portugal",39.6062103081133,-8.52813028125947
"Qatar",25.3048623561995,51.1846516775887
"Reunion",NA,NA
"Romania",45.8484139836604,24.9831817963969
"Russia",66.0317219336462,95.6413766734594
"Rwanda",-1.99032494977322,29.9199828803488
"Saint Barthelemy",NA,NA
"Saint Helena",-12.3792424774693,-9.67419752777943
"Saint Kitts And Nevis",NA,NA
"Saint Lucia",13.8947729972689,-60.9697106736362
"Saint Martin",NA,NA
"Saint Pierre And Miquelon",NA,NA
"Saint Vincent And The Grenadines",NA,NA
"Samoa",-13.7534008838267,-172.165304608578
"San Marino",43.9418652353314,12.4592152283525
"Sao Tome And Principe",NA,NA
"Saudi Arabia",24.0865579850414,44.6631748052912
"Senegal",14.3648110931751,-14.4694479474535
"Serbia",44.2113198308083,20.8066062890631
"Seychelles",-4.66098975230178,55.4760278184558
"Sierra Leone",8.56249232471683,-11.7926118498279
"Singapore",1.35876224004016,103.817255835084
"Sint Maarten",18.0508225284733,-63.0571336152756
"Slovakia",48.7112808109013,19.4689717742126
"Slovenia",46.1158904765915,14.8005232614883
"Solomon Islands",NA,NA
"Somalia",4.73940622189411,45.6792928389528
"South Africa",-28.9742085144411,25.1934382241476
"South Korea",36.3733672273297,127.834771148163
"South Sudan",NA,NA
"Spain",40.2076539840155,-3.70353625253204
"Sri Lanka",7.61103818451618,80.7016320185892
"State Of Palestine",NA,NA
"Sudan",15.9679661095596,29.9074652457207
"Suriname",4.12984828785449,-55.9124311742725
"Swaziland",NA,NA
"Sweden",62.3836560742429,16.266950180562
"Switzerland",46.7988964271967,8.20628199812416
"Syria",35.0167773258703,38.4844621406404
"Taiwan",23.7502042082941,120.951465590186
"Tajikistan",38.5365490307173,71.0268540192321
"Tanzania",-6.26824779010462,34.801810641346
"Thailand",15.0825849519536,101.000648498299
"Timor Leste",NA,NA
"Togo",8.52077978482272,0.963859659570673
"Tonga",-20.4205127569074,-174.801931197513
"Trinidad And Tobago",NA,NA
"Tunisia",34.0889554864525,9.55612880162237
"Turkey",39.137013310438,35.1728012164006
"Turks And Caicos Islands",NA,NA
"Uganda",1.27423154739338,32.3686653695696
"UK",NA,NA
"Ukraine",49.1956082317395,31.3155838484354
"United Arab Emirates",23.905320327121,54.2926697735691
"Uruguay",-32.791340912445,-56.0252057376117
"USA",37.0902,-95.7129
"Uzbekistan",41.7754007525036,63.3030925523506
"Vanuatu",-16.2169690328556,167.675345946174
"Venezuela",7.12227407747028,-66.1705444132272
"Viet Nam",NA,NA
"Wallis And Futuna Islands",NA,NA
"Western Sahara",NA,NA
"Yemen",15.91728068186,47.5677872552025
"Zambia",-13.4555254933089,27.8085818755982
"Zimbabwe",-18.9970468090672,29.8510133796762
